SampleIndex,Value
481,787.51004
482,739.49703
483,730.12463
484,660.5723
485,616.45784
486,632.51082
487,722.04063
488,751.74105
489,810.17891
490,759.10822
491,728.5262
492,785.19249
493,778.13388
494,785.66676
495,860.86218
496,964.13979
497,775.68741
498,717.9539
499,711.36002
500,705.51787
501,662.84905
502,672.753
503,722.90355
504,727.52307
505,689.769
506,738.71404
507,755.52406
508,690.03602
509,711.7379
510,795.11855
511,771.97316
512,913.73594
513,791.29485
514,807.34935
515,855.8635
516,769.71608
517,722.54158
518,809.65723
519,820.34371
520,784.17604
521,712.62646
522,732.21646
523,774.11285
524,784.86995
525,777.07789
526,730.99283
527,741.97242
528,762.10273
529,738.13616
530,724.52058
531,734.61251
532,780.00061
533,801.66347
534,799.05637
535,1146.05288
536,1068.37362
537,859.88664
538,899.14374
539,796.43813
540,792.56015
541,821.4498
542,822.45123
543,987.46611
544,820.06422
545,864.0889
546,805.32529
547,823.33868
548,871.28663
549,951.49489
550,871.14735
551,876.68716
552,837.65831
553,891.2199
554,955.2336
555,972.1693
556,915.80299
557,935.16188
558,861.80702
559,857.31682
560,1002.63459
561,910.53882
562,1008.59329
563,911.98853
564,867.17187
565,875.39378
566,953.58804
567,947.85469
568,964.55109
569,937.51717
570,1009.53058
571,991.38639
572,982.61071
573,1036.28999
574,1003.99967
575,985.08835
576,911.38874
577,877.48075
578,941.99515
579,1049.60872
580,913.44528
581,910.02807
582,963.21845
583,935.24092
584,926.86471
585,968.93839
586,1051.69218
587,993.39268
588,938.27106
589,876.50268
590,938.90417
591,899.77492
592,875.63968
593,908.0826
594,896.0858
595,846.6856
596,861.45952
597,875.38991
598,916.4776
599,911.39146
600,873.22735
601,876.4895
602,903.88616
603,869.12539
604,907.79975
605,893.84904
606,888.72095
607,811.77652
608,812.67927
609,847.26767
610,844.98609
611,814.95219
612,827.30763
613,791.45888
614,859.64546
615,867.47082
616,842.12059
617,854.222
618,851.71035
619,807.7091
620,792.92978
621,850.57774
622,838.13977
623,791.73733
624,866.23135
625,869.16463
626,806.50084
627,788.10181
628,883.14691
629,842.25709
630,1197.4249
631,969.91176
632,869.32455
633,994.09672
634,961.56193
635,803.04608
636,912.70441
637,829.51536
638,815.56426
639,860.81179
640,876.24249
641,803.01923
642,732.06883
643,744.42968
644,761.29553
645,793.12821
646,766.37595
647,712.80535
648,753.72445
649,815.89935
650,809.06362
651,787.51011
652,905.47943
653,967.73343
654,873.28856
655,797.14095
656,816.6721
657,661.9975
658,673.13257
659,731.21415
660,738.21365
661,754.20602
662,744.40634
663,677.23693
664,682.04068
665,679.78794
666,754.79654
667,724.999379
668,684.2095
669,698.41916
670,710.09404
671,719.26486
672,772.27266
673,717.61003
674,887.33168
675,679.96061
676,712.15885
677,694.17256
678,788.9722
679,689.47465
680,730.41124
681,779.56445
682,725.22244
683,664.74438
684,708.12981
685,770.55888
686,803.14273
687,773.74352
688,820.76534
689,766.23992
690,827.58185
691,728.41002
692,860.21129
693,800.90329
694,768.17866
695,712.49914
696,787.05634
697,787.23372
698,733.92386
699,863.18142
700,846.96965
701,795.67756
702,778.31529
703,781.70752
704,779.93783
705,711.47255
706,731.28428
707,802.98565
708,851.69135
709,836.89133
710,717.69943
711,707.29953
712,840.37063
713,772.57237
714,758.802
715,783.18413
716,734.62114
717,736.94291
718,825.86337
719,742.89982
720,756.23263
721,739.79597
722,714.22954
723,700.1133
724,760.85015
725,733.96702
726,761.65478
727,737.74449
728,781.84824
729,775.19261
730,746.77081
731,749.65253
732,816.41317
733,787.62636
734,839.99184
735,764.86509
736,794.88269
737,768.94983
738,721.17173
739,742.788
740,755.58324
741,1124.74427
742,1108.16858
743,829.59506
744,923.94358
745,953.9296
746,989.42213
747,897.57713
748,827.78545
749,913.83803
750,871.47067
751,1038.40886
752,994.32872
753,937.07179
754,831.20405
755,804.76651
756,847.44123
757,948.71968
758,938.73764
759,867.75957
760,827.81987
761,908.71766
762,877.99966
763,946.84085
764,939.28033
765,927.32456
766,914.8454
767,963.24059
768,940.72512
769,1026.46335
770,1001.15699
771,910.36683
772,921.52499
773,930.63951
774,928.97819
775,952.8415
776,939.29509
777,854.69075
778,854.66066
779,1017.84146
780,958.30737
781,851.64991
782,895.72828
783,920.29463
784,983.92329
785,992.07462
786,1005.3455
787,893.77079
788,883.63907
789,921.71572
790,989.19558
791,871.92201
792,879.24458
793,934.84452
794,859.25742
795,903.63671
796,895.25226
797,923.99148
798,844.56348
799,852.40541
800,882.40392
801,981.87246
802,895.34431
803,927.44413
804,934.72589
805,930.11402
806,825.86438
807,847.4565
808,863.79558
809,814.1192
810,801.0735
811,768.40269
812,795.79705
813,862.40764
814,828.18564
815,818.9213
816,839.12859
817,822.21972
818,917.31699
819,869.12782
820,893.58621
821,877.46931
822,855.93894
823,792.09408
824,804.92131
825,779.20645
826,806.16283
827,822.97698
828,857.89998
829,837.50343
830,776.99724
831,832.3236
832,968.55107
833,878.68663
834,911.65634
835,882.4247
836,1155.50743
837,937.83964
838,760.34126
839,851.99942
840,936.84867
841,812.54906
842,786.64365
843,811.97984
844,778.63369
845,789.41247
846,796.8494
847,767.26875
848,788.58963
849,878.05608
850,814.89037
851,795.02108
852,806.74371
853,727.65847
854,702.23611
855,761.92605
856,801.91224
857,767.37438
858,863.9947
859,799.60362
860,692.97204
861,759.79895
